codigo,descricao
99992,Justiça Federal
99993,Empresas Públicas / CLT
BC023,Governo do Distrito Federal
BC024,Ministério do Trabalho e Previdência Social
BC030,Companhia Brasileira de Trens Urbanos
BC037,Governo do Estado de Pernambuco - PE
BC038,Fundação Banco Central de Previdência Privada
BC045,Superintendência Nacional de Previdência Complementar
BC049,Prefeitura Municipal de Campinas - SP
BC051,Prefeitura Municipal de São Paulo - SP
BC052,Prefeitura Municipal de Curitiba - PR
BC057,Fundação de Previdência Complementar do Servidor Público Federal
BC058,Prefeitura Municipal do Rio de Janeiro - RJ
BC060,Companhia Municipal de Limpeza Urbana - Rio de Janeiro
BC061,Ministério dos Direitos Humanos
BC063,MINISTERIO DA ECONOMIA
BC064,MINISTERIO DA CIDADANIA
BC065,UNIDADE DE INTELIGENCIA FINANCEIRA
BC066,FUND. INST. BRASIL. GEOG. E ESTATISTICA
BC067,"MIN.DA MULHER, DA FAMILIA E DOS DIREITOS"
BC068,CONSELHO CONTROLE ADTIVIDADES FINANCEIRA
BC997,Ministério da Educação e do Desporto
BC998,Telecomunicações Brasileiras S.A.
BC999,BNDES Participações S.A.
